v_region_origen,v_region_destino,v_tipo_visitante,g_cantidad_visitantes_agrup,v_cantidad_noches_agrup,v_tipo_alojamiento_agrup,v_medio_transporte,v_motivo_viaje,g_quintil_pcf_visitante,g_nivel_ed_mayoritaria,g_cond_act_mayoritaria,j_sexo,j_edad,j_nivel_ed,j_cond_act,g_cant_menores,g_cant_jovenes,g_cant_adultos,g_cant_ancianos,g_cant_mujeres,g_cant_varones,v_cant_actividades_mayoritaria,g_viaje_familia_completa,g_promedio_edad_agrup,v_gasto_usd_agrup
Centro,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Hotel o similar hasta 3 estrellas,Omnibus,"Esparcimiento, ocio, recreacion",Quinto quintil,Superior completa o más,Inactivo,Mujer,60 años o más,Superior completa o más,Inactivo,0,0,0,1,1,0,0 actividades,No,"(60, 70]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Superior completa o más,Inactivo,Varón,60 años o más,Superior completa o más,Inactivo,0,0,2 o más,0,1,1,0 actividades,Si,"(45, 60]","(-1, 100]"
Centro,Centro,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Centro,Centro,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
