"id_hogar","id_viajes","miembro","anio","trimestre","region_origen","aglomerado_origen","region_destino","provincia_destino","localidad_destino","cod_loc_2001","codigo_2001","codigo_2010","cod_prov_2010","cod_depto_2010","cod_loc_2010","pondera","tipo_visitante","cantidad_destinos","multidestino","px06","px06_agrup","px07","px07_agrup","px08","px08_agrup","px09","px10_1","px11","px12_1","px12_2","px12_3","px12_4","px12_5","px12_6","px12_7","px12_8","px13","px14","px15_1","px15_2","px15_3","px15_4","pxb16_1_1","pxb16_1_2","pxb16_1_3","pxb16_1_4","pxb16_1_5","pxb16_1_6","pxb16_1_7","pxb16_1_9","pxb16_2","px17_1","px17_2_1","px17_2_2","px17_2_3","px17_2_4","px17_2_5","px17_2_6","px17_2_7","px17_2_8","px17_2_9","px17_2_10","px17_2_11","px17_2_12","px17_2_13","px18_1","px18_2","px18_3","px18_4","px18_5","px18_6","px18_7","gasto_pc","quintil_pcf_visitante","p002","p004","p005","p006","p006_agrup","p007","nivel_ed","cond_act","p013","j_sexo","j_edad","j_nivel_ed","j_cond_act"
272284,91101,1,2020,1,7,26,7,74,"Potrerillo",87,"74063060","74063060","74","063","060",199,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,300,4,3,1,2,58,4,2,5,1,2,2,3,3,1
272284,91101,2,2020,1,7,26,7,74,"Potrerillo",87,"74063060","74063060","74","063","060",199,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,300,4,3,2,1,62,5,2,3,3,2,2,3,3,1
272284,91101,3,2020,1,7,26,7,74,"Potrerillo",87,"74063060","74063060","74","063","060",199,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,300,4,3,3,1,27,2,2,5,2,2,2,3,3,1
272284,92101,1,2020,1,7,26,7,74,"San Luis",80,"74056150","74056150","74","056","150",199,2,1,1,1,1,0,,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,3000,4,3,1,2,58,4,2,5,1,2,2,3,3,1
272284,92102,1,2020,1,7,26,7,74,"San Luis",80,"74056150","74056150","74","056","150",199,2,1,1,1,1,0,,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,3000,4,3,1,2,58,4,2,5,1,2,2,3,3,1
272284,92201,1,2020,2,7,26,7,74,"San Luis",80,"74056150","74056150","74","056","150",383,2,1,1,1,1,0,,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,3000,4,3,1,2,58,4,2,5,1,2,2,3,3,1
272284,92202,1,2020,2,7,26,7,74,"San Luis",80,"74056150","74056150","74","056","150",383,2,1,1,1,1,0,,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,3000,4,3,1,2,58,4,2,5,1,2,2,3,3,1
272294,51101,1,2020,1,5,5,5,82,"San José del Rincón",181,"82063160","82063160","82","063","160",289,2,1,1,2,1,0,,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,1000,5,2,1,1,64,5,2,9,3,2,1,4,4,3
272294,51101,2,2020,1,5,5,5,82,"San José del Rincón",181,"82063160","82063160","82","063","160",289,2,1,1,2,1,0,,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,1000,5,2,2,2,64,5,2,5,3,2,1,4,4,3
272294,51102,1,2020,1,5,5,5,82,"San José del Rincón",181,"82063160","82063160","82","063","160",289,2,1,1,2,1,0,,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,500,5,2,1,1,64,5,2,9,3,2,1,4,4,3
